"x"	"y"
554821	125086
555821	125086
556821	125086
557821	125086
558821	125086
559821	125086
560821	125086
561821	125086
562821	125086
563821	125086
564821	125086
565821	125086
566821	125086
567821	125086
568821	125086
569821	125086
570821	125086
571821	125086
572821	125086
573821	125086
574821	125086
575821	125086
576821	125086
577821	125086
578821	125086
579821	125086
580821	125086
581821	125086
582821	125086
583821	125086
584821	125086
585821	125086
586821	125086
587821	125086
588821	125086
589821	125086
590821	125086
591821	125086
592821	125086
593821	125086
594821	125086
595821	125086
596821	125086
597821	125086
598821	125086
599821	125086
600821	125086
601821	125086
602821	125086
603821	125086
604821	125086
605821	125086
606821	125086
607821	125086
608821	125086
609821	125086
610821	125086
611821	125086
612821	125086
613821	125086
614821	125086
615821	125086
616821	125086
617821	125086
618821	125086
619821	125086
620821	125086
621821	125086
622821	125086
623821	125086
624821	125086
625821	125086
626821	125086
627821	125086
628821	125086
629821	125086
630821	125086
554821	126086
555821	126086
556821	126086
557821	126086
558821	126086
559821	126086
560821	126086
561821	126086
562821	126086
563821	126086
564821	126086
565821	126086
566821	126086
567821	126086
568821	126086
569821	126086
570821	126086
571821	126086
572821	126086
573821	126086
574821	126086
575821	126086
576821	126086
577821	126086
578821	126086
579821	126086
580821	126086
581821	126086
582821	126086
583821	126086
584821	126086
585821	126086
586821	126086
587821	126086
588821	126086
589821	126086
590821	126086
591821	126086
592821	126086
593821	126086
594821	126086
595821	126086
596821	126086
597821	126086
598821	126086
599821	126086
600821	126086
601821	126086
602821	126086
603821	126086
604821	126086
605821	126086
606821	126086
607821	126086
608821	126086
609821	126086
610821	126086
611821	126086
612821	126086
613821	126086
614821	126086
615821	126086
616821	126086
617821	126086
618821	126086
619821	126086
620821	126086
621821	126086
622821	126086
623821	126086
624821	126086
625821	126086
626821	126086
627821	126086
628821	126086
629821	126086
630821	126086
554821	127086
555821	127086
556821	127086
557821	127086
558821	127086
559821	127086
560821	127086
561821	127086
562821	127086
563821	127086
564821	127086
565821	127086
566821	127086
567821	127086
568821	127086
569821	127086
570821	127086
571821	127086
572821	127086
573821	127086
574821	127086
575821	127086
576821	127086
577821	127086
578821	127086
579821	127086
580821	127086
581821	127086
582821	127086
583821	127086
584821	127086
585821	127086
586821	127086
587821	127086
588821	127086
589821	127086
590821	127086
591821	127086
592821	127086
593821	127086
594821	127086
595821	127086
596821	127086
597821	127086
598821	127086
599821	127086
600821	127086
601821	127086
602821	127086
603821	127086
604821	127086
605821	127086
606821	127086
607821	127086
608821	127086
609821	127086
610821	127086
611821	127086
612821	127086
613821	127086
614821	127086
615821	127086
616821	127086
617821	127086
618821	127086
619821	127086
620821	127086
621821	127086
622821	127086
623821	127086
624821	127086
625821	127086
626821	127086
627821	127086
628821	127086
629821	127086
630821	127086
554821	128086
555821	128086
556821	128086
557821	128086
558821	128086
559821	128086
560821	128086
561821	128086
562821	128086
563821	128086
564821	128086
565821	128086
566821	128086
567821	128086
568821	128086
569821	128086
570821	128086
571821	128086
572821	128086
573821	128086
574821	128086
575821	128086
576821	128086
577821	128086
578821	128086
579821	128086
580821	128086
581821	128086
582821	128086
583821	128086
584821	128086
585821	128086
586821	128086
587821	128086
588821	128086
589821	128086
590821	128086
591821	128086
592821	128086
593821	128086
594821	128086
595821	128086
596821	128086
597821	128086
598821	128086
599821	128086
600821	128086
601821	128086
602821	128086
603821	128086
604821	128086
605821	128086
606821	128086
607821	128086
608821	128086
609821	128086
610821	128086
611821	128086
612821	128086
613821	128086
614821	128086
615821	128086
616821	128086
617821	128086
618821	128086
619821	128086
620821	128086
621821	128086
622821	128086
623821	128086
624821	128086
625821	128086
626821	128086
627821	128086
628821	128086
629821	128086
630821	128086
554821	129086
555821	129086
556821	129086
557821	129086
558821	129086
559821	129086
560821	129086
561821	129086
562821	129086
563821	129086
564821	129086
565821	129086
566821	129086
567821	129086
568821	129086
569821	129086
570821	129086
571821	129086
572821	129086
573821	129086
574821	129086
575821	129086
576821	129086
577821	129086
578821	129086
579821	129086
580821	129086
581821	129086
582821	129086
583821	129086
584821	129086
585821	129086
586821	129086
587821	129086
588821	129086
589821	129086
590821	129086
591821	129086
592821	129086
593821	129086
594821	129086
595821	129086
596821	129086
597821	129086
598821	129086
599821	129086
600821	129086
601821	129086
602821	129086
603821	129086
604821	129086
605821	129086
606821	129086
607821	129086
608821	129086
609821	129086
610821	129086
611821	129086
612821	129086
613821	129086
614821	129086
615821	129086
616821	129086
617821	129086
618821	129086
619821	129086
620821	129086
621821	129086
622821	129086
623821	129086
624821	129086
625821	129086
626821	129086
627821	129086
628821	129086
629821	129086
630821	129086
554821	130086
555821	130086
556821	130086
557821	130086
558821	130086
559821	130086
560821	130086
561821	130086
562821	130086
563821	130086
564821	130086
565821	130086
566821	130086
567821	130086
568821	130086
569821	130086
570821	130086
571821	130086
572821	130086
573821	130086
574821	130086
575821	130086
576821	130086
577821	130086
578821	130086
579821	130086
580821	130086
581821	130086
582821	130086
583821	130086
584821	130086
585821	130086
586821	130086
587821	130086
588821	130086
589821	130086
590821	130086
591821	130086
592821	130086
593821	130086
594821	130086
595821	130086
596821	130086
597821	130086
598821	130086
599821	130086
600821	130086
601821	130086
602821	130086
603821	130086
604821	130086
605821	130086
606821	130086
607821	130086
608821	130086
609821	130086
610821	130086
611821	130086
612821	130086
613821	130086
614821	130086
615821	130086
616821	130086
617821	130086
618821	130086
619821	130086
620821	130086
621821	130086
622821	130086
623821	130086
624821	130086
625821	130086
626821	130086
627821	130086
628821	130086
629821	130086
630821	130086
554821	131086
555821	131086
556821	131086
557821	131086
558821	131086
559821	131086
560821	131086
561821	131086
562821	131086
563821	131086
564821	131086
565821	131086
566821	131086
567821	131086
568821	131086
569821	131086
570821	131086
571821	131086
572821	131086
573821	131086
574821	131086
575821	131086
576821	131086
577821	131086
578821	131086
579821	131086
580821	131086
581821	131086
582821	131086
583821	131086
584821	131086
585821	131086
586821	131086
587821	131086
588821	131086
589821	131086
590821	131086
591821	131086
592821	131086
593821	131086
594821	131086
595821	131086
596821	131086
597821	131086
598821	131086
599821	131086
600821	131086
601821	131086
602821	131086
603821	131086
604821	131086
605821	131086
606821	131086
607821	131086
608821	131086
609821	131086
610821	131086
611821	131086
612821	131086
613821	131086
614821	131086
615821	131086
616821	131086
617821	131086
618821	131086
619821	131086
620821	131086
621821	131086
622821	131086
623821	131086
624821	131086
625821	131086
626821	131086
627821	131086
628821	131086
629821	131086
630821	131086
554821	132086
555821	132086
556821	132086
557821	132086
558821	132086
559821	132086
560821	132086
561821	132086
562821	132086
563821	132086
564821	132086
565821	132086
566821	132086
567821	132086
568821	132086
569821	132086
570821	132086
571821	132086
572821	132086
573821	132086
574821	132086
575821	132086
576821	132086
577821	132086
578821	132086
579821	132086
580821	132086
581821	132086
582821	132086
583821	132086
584821	132086
585821	132086
586821	132086
587821	132086
588821	132086
589821	132086
590821	132086
591821	132086
592821	132086
593821	132086
594821	132086
595821	132086
596821	132086
597821	132086
598821	132086
599821	132086
600821	132086
601821	132086
602821	132086
603821	132086
604821	132086
605821	132086
606821	132086
607821	132086
608821	132086
609821	132086
610821	132086
611821	132086
612821	132086
613821	132086
614821	132086
615821	132086
616821	132086
617821	132086
618821	132086
619821	132086
620821	132086
621821	132086
622821	132086
623821	132086
624821	132086
625821	132086
626821	132086
627821	132086
628821	132086
629821	132086
630821	132086
554821	133086
555821	133086
556821	133086
557821	133086
558821	133086
559821	133086
560821	133086
561821	133086
562821	133086
563821	133086
564821	133086
565821	133086
566821	133086
567821	133086
568821	133086
569821	133086
570821	133086
571821	133086
572821	133086
573821	133086
574821	133086
575821	133086
576821	133086
577821	133086
578821	133086
579821	133086
580821	133086
581821	133086
582821	133086
583821	133086
584821	133086
585821	133086
586821	133086
587821	133086
588821	133086
589821	133086
590821	133086
591821	133086
592821	133086
593821	133086
594821	133086
595821	133086
596821	133086
597821	133086
598821	133086
599821	133086
600821	133086
601821	133086
602821	133086
603821	133086
604821	133086
605821	133086
606821	133086
607821	133086
608821	133086
609821	133086
610821	133086
611821	133086
612821	133086
613821	133086
614821	133086
615821	133086
616821	133086
617821	133086
618821	133086
619821	133086
620821	133086
621821	133086
622821	133086
623821	133086
624821	133086
625821	133086
626821	133086
627821	133086
628821	133086
629821	133086
630821	133086
554821	134086
555821	134086
556821	134086
557821	134086
558821	134086
559821	134086
560821	134086
561821	134086
562821	134086
563821	134086
564821	134086
565821	134086
566821	134086
567821	134086
568821	134086
569821	134086
570821	134086
571821	134086
572821	134086
573821	134086
574821	134086
575821	134086
576821	134086
577821	134086
578821	134086
579821	134086
580821	134086
581821	134086
582821	134086
583821	134086
584821	134086
585821	134086
586821	134086
587821	134086
588821	134086
589821	134086
590821	134086
591821	134086
592821	134086
593821	134086
594821	134086
595821	134086
596821	134086
597821	134086
598821	134086
599821	134086
600821	134086
601821	134086
602821	134086
603821	134086
604821	134086
605821	134086
606821	134086
607821	134086
608821	134086
609821	134086
610821	134086
611821	134086
612821	134086
613821	134086
614821	134086
615821	134086
616821	134086
617821	134086
618821	134086
619821	134086
620821	134086
621821	134086
622821	134086
623821	134086
624821	134086
625821	134086
626821	134086
627821	134086
628821	134086
629821	134086
630821	134086
554821	135086
555821	135086
556821	135086
557821	135086
558821	135086
559821	135086
560821	135086
561821	135086
562821	135086
563821	135086
564821	135086
565821	135086
566821	135086
567821	135086
568821	135086
569821	135086
570821	135086
571821	135086
572821	135086
573821	135086
574821	135086
575821	135086
576821	135086
577821	135086
578821	135086
579821	135086
580821	135086
581821	135086
582821	135086
583821	135086
584821	135086
585821	135086
586821	135086
587821	135086
588821	135086
589821	135086
590821	135086
591821	135086
592821	135086
593821	135086
594821	135086
595821	135086
596821	135086
597821	135086
598821	135086
599821	135086
600821	135086
601821	135086
602821	135086
603821	135086
604821	135086
605821	135086
606821	135086
607821	135086
608821	135086
609821	135086
610821	135086
611821	135086
612821	135086
613821	135086
614821	135086
615821	135086
616821	135086
617821	135086
618821	135086
619821	135086
620821	135086
621821	135086
622821	135086
623821	135086
624821	135086
625821	135086
626821	135086
627821	135086
628821	135086
629821	135086
630821	135086
554821	136086
555821	136086
556821	136086
557821	136086
558821	136086
559821	136086
560821	136086
561821	136086
562821	136086
563821	136086
564821	136086
565821	136086
566821	136086
567821	136086
568821	136086
569821	136086
570821	136086
571821	136086
572821	136086
573821	136086
574821	136086
575821	136086
576821	136086
577821	136086
578821	136086
579821	136086
580821	136086
581821	136086
582821	136086
583821	136086
584821	136086
585821	136086
586821	136086
587821	136086
588821	136086
589821	136086
590821	136086
591821	136086
592821	136086
593821	136086
594821	136086
595821	136086
596821	136086
597821	136086
598821	136086
599821	136086
600821	136086
601821	136086
602821	136086
603821	136086
604821	136086
605821	136086
606821	136086
607821	136086
608821	136086
609821	136086
610821	136086
611821	136086
612821	136086
613821	136086
614821	136086
615821	136086
616821	136086
617821	136086
618821	136086
619821	136086
620821	136086
621821	136086
622821	136086
623821	136086
624821	136086
625821	136086
626821	136086
627821	136086
628821	136086
629821	136086
630821	136086
554821	137086
555821	137086
556821	137086
557821	137086
558821	137086
559821	137086
560821	137086
561821	137086
562821	137086
563821	137086
564821	137086
565821	137086
566821	137086
567821	137086
568821	137086
569821	137086
570821	137086
571821	137086
572821	137086
573821	137086
574821	137086
575821	137086
576821	137086
577821	137086
578821	137086
579821	137086
580821	137086
581821	137086
582821	137086
583821	137086
584821	137086
585821	137086
586821	137086
587821	137086
588821	137086
589821	137086
590821	137086
591821	137086
592821	137086
593821	137086
594821	137086
595821	137086
596821	137086
597821	137086
598821	137086
599821	137086
600821	137086
601821	137086
602821	137086
603821	137086
604821	137086
605821	137086
606821	137086
607821	137086
608821	137086
609821	137086
610821	137086
611821	137086
612821	137086
613821	137086
614821	137086
615821	137086
616821	137086
617821	137086
618821	137086
619821	137086
620821	137086
621821	137086
622821	137086
623821	137086
624821	137086
625821	137086
626821	137086
627821	137086
628821	137086
629821	137086
630821	137086
554821	138086
555821	138086
556821	138086
557821	138086
558821	138086
559821	138086
560821	138086
561821	138086
562821	138086
563821	138086
564821	138086
565821	138086
566821	138086
567821	138086
568821	138086
569821	138086
570821	138086
571821	138086
572821	138086
573821	138086
574821	138086
575821	138086
576821	138086
577821	138086
578821	138086
579821	138086
580821	138086
581821	138086
582821	138086
583821	138086
584821	138086
585821	138086
586821	138086
587821	138086
588821	138086
589821	138086
590821	138086
591821	138086
592821	138086
593821	138086
594821	138086
595821	138086
596821	138086
597821	138086
598821	138086
599821	138086
600821	138086
601821	138086
602821	138086
603821	138086
604821	138086
605821	138086
606821	138086
607821	138086
608821	138086
609821	138086
610821	138086
611821	138086
612821	138086
613821	138086
614821	138086
615821	138086
616821	138086
617821	138086
618821	138086
619821	138086
620821	138086
621821	138086
622821	138086
623821	138086
624821	138086
625821	138086
626821	138086
627821	138086
628821	138086
629821	138086
630821	138086
554821	139086
555821	139086
556821	139086
557821	139086
558821	139086
559821	139086
560821	139086
561821	139086
562821	139086
563821	139086
564821	139086
565821	139086
566821	139086
567821	139086
568821	139086
569821	139086
570821	139086
571821	139086
572821	139086
573821	139086
574821	139086
575821	139086
576821	139086
577821	139086
578821	139086
579821	139086
580821	139086
581821	139086
582821	139086
583821	139086
584821	139086
585821	139086
586821	139086
587821	139086
588821	139086
589821	139086
590821	139086
591821	139086
592821	139086
593821	139086
594821	139086
595821	139086
596821	139086
597821	139086
598821	139086
599821	139086
600821	139086
601821	139086
602821	139086
603821	139086
604821	139086
605821	139086
606821	139086
607821	139086
608821	139086
609821	139086
610821	139086
611821	139086
612821	139086
613821	139086
614821	139086
615821	139086
616821	139086
617821	139086
618821	139086
619821	139086
620821	139086
621821	139086
622821	139086
623821	139086
624821	139086
625821	139086
626821	139086
627821	139086
628821	139086
629821	139086
630821	139086
554821	140086
555821	140086
556821	140086
557821	140086
558821	140086
559821	140086
560821	140086
561821	140086
562821	140086
563821	140086
564821	140086
565821	140086
566821	140086
567821	140086
568821	140086
569821	140086
570821	140086
571821	140086
572821	140086
573821	140086
574821	140086
575821	140086
576821	140086
577821	140086
578821	140086
579821	140086
580821	140086
581821	140086
582821	140086
583821	140086
584821	140086
585821	140086
586821	140086
587821	140086
588821	140086
589821	140086
590821	140086
591821	140086
592821	140086
593821	140086
594821	140086
595821	140086
596821	140086
597821	140086
598821	140086
599821	140086
600821	140086
601821	140086
602821	140086
603821	140086
604821	140086
605821	140086
606821	140086
607821	140086
608821	140086
609821	140086
610821	140086
611821	140086
612821	140086
613821	140086
614821	140086
615821	140086
616821	140086
617821	140086
618821	140086
619821	140086
620821	140086
621821	140086
622821	140086
623821	140086
624821	140086
625821	140086
626821	140086
627821	140086
628821	140086
629821	140086
630821	140086
554821	141086
555821	141086
556821	141086
557821	141086
558821	141086
559821	141086
560821	141086
561821	141086
562821	141086
563821	141086
564821	141086
565821	141086
566821	141086
567821	141086
568821	141086
569821	141086
570821	141086
571821	141086
572821	141086
573821	141086
574821	141086
575821	141086
576821	141086
577821	141086
578821	141086
579821	141086
580821	141086
581821	141086
582821	141086
583821	141086
584821	141086
585821	141086
586821	141086
587821	141086
588821	141086
589821	141086
590821	141086
591821	141086
592821	141086
593821	141086
594821	141086
595821	141086
596821	141086
597821	141086
598821	141086
599821	141086
600821	141086
601821	141086
602821	141086
603821	141086
604821	141086
605821	141086
606821	141086
607821	141086
608821	141086
609821	141086
610821	141086
611821	141086
612821	141086
613821	141086
614821	141086
615821	141086
616821	141086
617821	141086
618821	141086
